Description for the data in the LakeTemperatureAllLoopVariables.txt
1. The first column contains the name of variables that are used by the LakeTemperature.
2. The top row displays various sections (divided by "|") that illustrate the sequence of execution:
lakeTemperature(main) -> its subroutine->return to main -> its subroutine -> main
3. Every column within code section (divided by "|") represents a "do loop" (Fortran) segment.
The value of each table element indicates the usage of a variable in that "do loop", the value could be "ro, wo, ro, -". ro: read-only, wo: write-only, rw: read-write, -: not in use"


                             |LakeTemperature                |soilthermprop_ |LakeTemperature                    |phasechange_lake           |LakeTemperature            |soilthermprop_ |LakeTemperature    
lake_icefrac                 -   -   -   ro  ro  ro  -   ro  |-  -   -   -   |ro -   -   -   -   -   -   -   -   |-  -   -   rw  -   -   -   |ro ro  rw  -   rw  -   ro  |-  -   -   -   |ro -   -   -   ro  
t_lake                       -   -   -   ro  -   -   -   -   |-  -   -   -   |ro -   -   ro  -   -   -   -   wo  |-  -   rw  rw  -   -   -   |ro -   rw  -   rw  -   -   |-  -   -   -   |ro -   -   -   -   
z_lake                       -   -   -   -   ro  -   ro  -   |-  -   -   -   |-  -   -   ro  ro  -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
drhodz                       -   -   -   -   rw  -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
n2                           -   -   -   -   rw  -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
num                          -   -   -   -   rw  -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
ws                           -   -   -   -   ro  -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
ks                           -   -   -   -   ro  -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
den                          -   -   -   -   rw  -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
ri                           -   -   -   -   rw  -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
ke                           -   -   -   -   rw  -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
kme                          -   -   -   -   rw  rw  -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   ro  -   |-  -   -   -   |-  -   -   -   -   
km                           -   -   -   -   ro  -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
fangkm                       -   -   -   -   rw  -   -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
tk_lake                      -   -   -   -   wo  rw  -   -   |-  -   -   -   |-  -   -   -   ro  -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
cwat                         -   -   -   -   ro  ro  -   ro  |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   ro  -   ro  -   ro  |-  -   -   -   |-  -   -   -   -   
tkice_eff                    -   -   -   -   ro  ro  -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
savedtke1                    -   -   -   -   -   wo  -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
jtop                         -   -   -   -   -   wo  -   -   |-  -   -   -   |-  -   -   -   -   -   -   rw  -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
snl                          -   -   -   -   -   ro  -   -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
etal                         -   -   -   -   -   -   ro  -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
eta                          -   -   -   -   -   -   rw  -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
lakedepth                    -   -   -   -   -   -   ro  -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
dz_lake                      -   -   -   -   -   -   ro  ro  |-  -   -   -   |ro -   -   ro  ro  -   -   -   -   |-  -   -   ro  -   -   -   |-  -   ro  -   ro  -   ro  |-  -   -   -   |ro -   -   -   ro  
zin                          -   -   -   -   -   -   rw  -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
zout                         -   -   -   -   -   -   rw  -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
rsfin                        -   -   -   -   -   -   rw  -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
rsfout                       -   -   -   -   -   -   rw  -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
phidum                       -   -   -   -   -   -   rw  -   |-  -   -   -   |-  -   -   -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
phi_soil                     -   -   -   -   -   -   wo  -   |-  -   -   -   |-  -   -   ro  -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
sabg_lyr                     -   -   -   -   -   -   ro  -   |-  -   -   -   |-  -   ro  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   -   -   -   |-  -   -   -   |-  -   -   -   -   
